edition,edition_id,year,country,country_noc,gold,silver,bronze,total,Games,City,unique_event_count,unique_athlete_count,unique_male_count,unique_female_count,total_medals_noc_year,host_noc,is_host,is_host_int
2002 Winter Olympics,47,2002,Republic of Korea,KOR,2,2,0,4,2002 Winter,Salt Lake City,39.0,46.0,31.0,15.0,4.0,USA,False,0
2002 Winter Olympics,47,2002,Bulgaria,BUL,0,1,2,3,2002 Winter,Salt Lake City,27.0,23.0,13.0,10.0,3.0,USA,False,0
2002 Winter Olympics,47,2002,People's Republic of China,CHN,2,2,4,8,2002 Winter,Salt Lake City,38.0,66.0,21.0,45.0,8.0,USA,False,0
2002 Winter Olympics,47,2002,Canada,CAN,7,3,7,17,2002 Winter,Salt Lake City,64.0,150.0,85.0,65.0,17.0,USA,False,0
2002 Winter Olympics,47,2002,Switzerland,SUI,3,2,6,11,2002 Winter,Salt Lake City,52.0,110.0,80.0,30.0,11.0,USA,False,0
2002 Winter Olympics,47,2002,Norway,NOR,13,5,7,25,2002 Winter,Salt Lake City,49.0,77.0,50.0,27.0,24.0,USA,False,0
2002 Winter Olympics,47,2002,Germany,GER,12,16,8,36,2002 Winter,Salt Lake City,69.0,157.0,88.0,69.0,36.0,USA,False,0
2002 Winter Olympics,47,2002,United States,USA,10,13,11,34,2002 Winter,Salt Lake City,78.0,202.0,115.0,87.0,34.0,USA,True,1
2002 Winter Olympics,47,2002,Russian Federation,RUS,5,4,4,13,2002 Winter,Salt Lake City,62.0,151.0,85.0,66.0,13.0,USA,False,0
2002 Winter Olympics,47,2002,Croatia,CRO,3,1,0,4,2002 Winter,Salt Lake City,18.0,13.0,8.0,5.0,4.0,USA,False,0
2002 Winter Olympics,47,2002,Italy,ITA,4,4,5,13,2002 Winter,Salt Lake City,66.0,109.0,63.0,46.0,13.0,USA,False,0
2002 Winter Olympics,47,2002,Finland,FIN,4,2,1,7,2002 Winter,Salt Lake City,41.0,98.0,62.0,36.0,7.0,USA,False,0
2002 Winter Olympics,47,2002,Netherlands,NED,3,5,0,8,2002 Winter,Salt Lake City,17.0,27.0,14.0,13.0,8.0,USA,False,0
2002 Winter Olympics,47,2002,Austria,AUT,3,4,10,17,2002 Winter,Salt Lake City,40.0,90.0,71.0,19.0,17.0,USA,False,0
2002 Winter Olympics,47,2002,France,FRA,4,5,2,11,2002 Winter,Salt Lake City,54.0,114.0,87.0,27.0,11.0,USA,False,0
2006 Winter Olympics,49,2006,Croatia,CRO,1,2,0,3,2006 Winter,Torino,20.0,23.0,16.0,7.0,3.0,ITA,False,0
2006 Winter Olympics,49,2006,Australia,AUS,1,0,1,2,2006 Winter,Torino,31.0,40.0,23.0,17.0,2.0,ITA,False,0
2006 Winter Olympics,49,2006,Japan,JPN,1,0,0,1,2006 Winter,Torino,70.0,110.0,58.0,52.0,1.0,ITA,False,0
2006 Winter Olympics,49,2006,Finland,FIN,0,6,3,9,2006 Winter,Torino,36.0,90.0,59.0,31.0,9.0,ITA,False,0
2006 Winter Olympics,49,2006,Poland,POL,0,1,1,2,2006 Winter,Torino,47.0,45.0,29.0,16.0,2.0,ITA,False,0
2006 Winter Olympics,49,2006,Bulgaria,BUL,0,1,0,1,2006 Winter,Torino,25.0,21.0,11.0,10.0,1.0,ITA,False,0
2006 Winter Olympics,49,2006,Great Britain,GBR,0,1,0,1,2006 Winter,Torino,30.0,39.0,23.0,16.0,1.0,ITA,False,0
2006 Winter Olympics,49,2006,Slovakia,SVK,0,1,0,1,2006 Winter,Torino,39.0,58.0,45.0,13.0,1.0,ITA,False,0
2006 Winter Olympics,49,2006,Czechia,CZE,1,2,1,4,2006 Winter,Torino,53.0,83.0,63.0,20.0,4.0,ITA,False,0
2006 Winter Olympics,49,2006,Latvia,LAT,0,0,1,1,2006 Winter,Torino,25.0,57.0,49.0,8.0,1.0,ITA,False,0
2006 Winter Olympics,49,2006,Belarus,BLR,0,1,0,1,2006 Winter,Torino,27.0,28.0,14.0,14.0,1.0,ITA,False,0
2006 Winter Olympics,49,2006,Ukraine,UKR,0,0,2,2,2006 Winter,Torino,42.0,52.0,30.0,22.0,2.0,ITA,False,0
2006 Winter Olympics,49,2006,People's Republic of China,CHN,2,4,5,11,2006 Winter,Torino,51.0,73.0,35.0,38.0,11.0,ITA,False,0
2006 Winter Olympics,49,2006,Estonia,EST,3,0,0,3,2006 Winter,Torino,28.0,26.0,17.0,9.0,3.0,ITA,False,0
2006 Winter Olympics,49,2006,Norway,NOR,2,8,9,19,2006 Winter,Torino,47.0,67.0,46.0,21.0,19.0,ITA,False,0
2006 Winter Olympics,49,2006,Germany,GER,11,12,6,29,2006 Winter,Torino,70.0,155.0,94.0,61.0,29.0,ITA,False,0
2006 Winter Olympics,49,2006,United States,USA,9,9,7,25,2006 Winter,Torino,83.0,204.0,117.0,87.0,25.0,ITA,False,0
2006 Winter Olympics,49,2006,Austria,AUT,9,7,7,23,2006 Winter,Torino,42.0,73.0,55.0,18.0,23.0,ITA,False,0
2006 Winter Olympics,49,2006,Canada,CAN,7,10,7,24,2006 Winter,Torino,78.0,191.0,108.0,83.0,24.0,ITA,False,0
2006 Winter Olympics,49,2006,Russian Federation,RUS,8,6,8,22,2006 Winter,Torino,75.0,174.0,100.0,74.0,22.0,ITA,False,0
2006 Winter Olympics,49,2006,Republic of Korea,KOR,6,3,2,11,2006 Winter,Torino,37.0,40.0,26.0,14.0,11.0,ITA,False,0
2006 Winter Olympics,49,2006,Switzerland,SUI,5,4,5,14,2006 Winter,Torino,50.0,125.0,77.0,48.0,14.0,ITA,False,0
2006 Winter Olympics,49,2006,Italy,ITA,5,0,6,11,2006 Winter,Torino,79.0,179.0,106.0,73.0,11.0,ITA,True,1
2006 Winter Olympics,49,2006,France,FRA,3,2,4,9,2006 Winter,Torino,55.0,82.0,50.0,32.0,9.0,ITA,False,0
2006 Winter Olympics,49,2006,Netherlands,NED,3,2,4,9,2006 Winter,Torino,23.0,33.0,16.0,17.0,9.0,ITA,False,0
2006 Winter Olympics,49,2006,Sweden,SWE,7,2,5,14,2006 Winter,Torino,49.0,106.0,63.0,43.0,14.0,ITA,False,0
2010 Winter Olympics,57,2010,Great Britain,GBR,1,0,0,1,2010 Winter,Vancouver,43.0,52.0,28.0,24.0,1.0,CAN,False,0
2010 Winter Olympics,57,2010,Italy,ITA,1,1,3,5,2010 Winter,Vancouver,69.0,109.0,69.0,40.0,5.0,CAN,False,0
2010 Winter Olympics,57,2010,Belarus,BLR,1,1,1,3,2010 Winter,Vancouver,28.0,47.0,33.0,14.0,3.0,CAN,False,0
2010 Winter Olympics,57,2010,Slovakia,SVK,1,1,1,3,2010 Winter,Vancouver,34.0,68.0,38.0,30.0,3.0,CAN,False,0
2010 Winter Olympics,57,2010,Japan,JPN,0,3,2,5,2010 Winter,Vancouver,61.0,91.0,48.0,43.0,5.0,CAN,False,0
2010 Winter Olympics,57,2010,Poland,POL,1,3,2,6,2010 Winter,Vancouver,50.0,46.0,26.0,20.0,6.0,CAN,False,0
2010 Winter Olympics,57,2010,Slovenia,SLO,0,2,1,3,2010 Winter,Vancouver,41.0,47.0,30.0,17.0,3.0,CAN,False,0
2010 Winter Olympics,57,2010,Latvia,LAT,0,2,0,2,2010 Winter,Vancouver,29.0,53.0,44.0,9.0,2.0,CAN,False,0
2010 Winter Olympics,57,2010,Kazakhstan,KAZ,0,1,0,1,2010 Winter,Vancouver,44.0,37.0,21.0,16.0,1.0,CAN,False,0
2010 Winter Olympics,57,2010,Finland,FIN,0,1,4,5,2010 Winter,Vancouver,41.0,91.0,58.0,33.0,5.0,CAN,False,0
2010 Winter Olympics,57,2010,Estonia,EST,0,1,0,1,2010 Winter,Vancouver,26.0,30.0,18.0,12.0,1.0,CAN,False,0
2010 Winter Olympics,57,2010,Croatia,CRO,0,2,1,3,2010 Winter,Vancouver,15.0,19.0,12.0,7.0,3.0,CAN,False,0
2010 Winter Olympics,57,2010,Czechia,CZE,2,0,4,6,2010 Winter,Vancouver,59.0,90.0,68.0,22.0,6.0,CAN,False,0
2010 Winter Olympics,57,2010,United States,USA,9,15,13,37,2010 Winter,Vancouver,84.0,212.0,120.0,92.0,37.0,CAN,False,0
2010 Winter Olympics,57,2010,France,FRA,2,3,6,11,2010 Winter,Vancouver,63.0,104.0,67.0,37.0,11.0,CAN,False,0
2010 Winter Olympics,57,2010,Canada,CAN,14,7,5,26,2010 Winter,Vancouver,83.0,201.0,113.0,88.0,26.0,CAN,True,1
2010 Winter Olympics,57,2010,Germany,GER,10,13,7,30,2010 Winter,Vancouver,77.0,149.0,93.0,56.0,30.0,CAN,False,0
2010 Winter Olympics,57,2010,Norway,NOR,9,8,6,23,2010 Winter,Vancouver,55.0,95.0,70.0,25.0,23.0,CAN,False,0
2010 Winter Olympics,57,2010,Republic of Korea,KOR,6,6,2,14,2010 Winter,Vancouver,38.0,45.0,27.0,18.0,14.0,CAN,False,0
2010 Winter Olympics,57,2010,Switzerland,SUI,6,0,3,9,2010 Winter,Vancouver,56.0,134.0,78.0,56.0,9.0,CAN,False,0
2010 Winter Olympics,57,2010,Australia,AUS,2,1,0,3,2010 Winter,Vancouver,32.0,40.0,20.0,20.0,3.0,CAN,False,0
2010 Winter Olympics,57,2010,Sweden,SWE,5,2,4,11,2010 Winter,Vancouver,44.0,101.0,57.0,44.0,11.0,CAN,False,0
2010 Winter Olympics,57,2010,Austria,AUT,4,6,6,16,2010 Winter,Vancouver,43.0,75.0,49.0,26.0,16.0,CAN,False,0
2010 Winter Olympics,57,2010,Netherlands,NED,4,1,3,8,2010 Winter,Vancouver,22.0,32.0,15.0,17.0,8.0,CAN,False,0
2010 Winter Olympics,57,2010,Russian Federation,RUS,3,5,7,15,2010 Winter,Vancouver,77.0,175.0,94.0,81.0,15.0,CAN,False,0
2010 Winter Olympics,57,2010,People's Republic of China,CHN,5,2,4,11,2010 Winter,Vancouver,44.0,86.0,30.0,56.0,11.0,CAN,False,0
2014 Winter Olympics,58,2014,Japan,JPN,1,4,3,8,2014 Winter,Sochi,59.0,109.0,48.0,61.0,8.0,RUS,False,0
2014 Winter Olympics,58,2014,Finland,FIN,1,3,1,5,2014 Winter,Sochi,41.0,99.0,66.0,33.0,5.0,RUS,False,0
2014 Winter Olympics,58,2014,Great Britain,GBR,1,1,3,5,2014 Winter,Sochi,40.0,53.0,32.0,21.0,4.0,RUS,False,0
2014 Winter Olympics,58,2014,Latvia,LAT,1,1,3,5,2014 Winter,Sochi,32.0,56.0,49.0,7.0,4.0,RUS,False,0
2014 Winter Olympics,58,2014,Ukraine,UKR,1,0,1,2,2014 Winter,Sochi,41.0,42.0,19.0,23.0,2.0,RUS,False,0
2014 Winter Olympics,58,2014,Italy,ITA,0,2,6,8,2014 Winter,Sochi,75.0,110.0,67.0,43.0,8.0,RUS,False,0
2014 Winter Olympics,58,2014,Australia,AUS,0,2,1,3,2014 Winter,Sochi,47.0,60.0,29.0,31.0,3.0,RUS,False,0
2014 Winter Olympics,58,2014,Croatia,CRO,0,1,0,1,2014 Winter,Sochi,16.0,11.0,7.0,4.0,1.0,RUS,False,0
2014 Winter Olympics,58,2014,Kazakhstan,KAZ,0,0,1,1,2014 Winter,Sochi,47.0,50.0,34.0,16.0,1.0,RUS,False,0
2014 Winter Olympics,58,2014,Slovenia,SLO,2,2,4,8,2014 Winter,Sochi,38.0,58.0,43.0,15.0,8.0,RUS,False,0
2014 Winter Olympics,58,2014,Slovakia,SVK,1,0,0,1,2014 Winter,Sochi,38.0,62.0,45.0,17.0,1.0,RUS,False,0
2014 Winter Olympics,58,2014,Sweden,SWE,2,7,6,15,2014 Winter,Sochi,38.0,99.0,56.0,43.0,15.0,RUS,False,0
2014 Winter Olympics,58,2014,Czechia,CZE,2,4,3,9,2014 Winter,Sochi,65.0,87.0,63.0,24.0,8.0,RUS,False,0
2014 Winter Olympics,58,2014,People's Republic of China,CHN,3,4,2,9,2014 Winter,Sochi,45.0,62.0,26.0,36.0,9.0,RUS,False,0
2014 Winter Olympics,58,2014,Republic of Korea,KOR,3,3,2,8,2014 Winter,Sochi,52.0,71.0,41.0,30.0,8.0,RUS,False,0
2014 Winter Olympics,58,2014,Norway,NOR,11,6,9,26,2014 Winter,Sochi,65.0,110.0,78.0,32.0,26.0,RUS,False,0
2014 Winter Olympics,58,2014,Russian Federation,RUS,10,10,9,29,2014 Winter,Sochi,94.0,213.0,125.0,88.0,33.0,RUS,True,1
2014 Winter Olympics,58,2014,Canada,CAN,10,10,5,25,2014 Winter,Sochi,93.0,217.0,121.0,96.0,25.0,RUS,False,0
2014 Winter Olympics,58,2014,Netherlands,NED,8,7,9,24,2014 Winter,Sochi,28.0,39.0,20.0,19.0,24.0,RUS,False,0
2014 Winter Olympics,58,2014,Germany,GER,8,6,5,19,2014 Winter,Sochi,79.0,151.0,76.0,75.0,19.0,RUS,False,0
2014 Winter Olympics,58,2014,United States,USA,9,9,10,28,2014 Winter,Sochi,94.0,222.0,122.0,100.0,28.0,RUS,False,0
2014 Winter Olympics,58,2014,Belarus,BLR,5,0,1,6,2014 Winter,Sochi,31.0,26.0,15.0,11.0,6.0,RUS,False,0
2014 Winter Olympics,58,2014,Austria,AUT,4,8,5,17,2014 Winter,Sochi,70.0,126.0,86.0,40.0,17.0,RUS,False,0
2014 Winter Olympics,58,2014,France,FRA,4,4,7,15,2014 Winter,Sochi,69.0,107.0,68.0,39.0,15.0,RUS,False,0
2014 Winter Olympics,58,2014,Poland,POL,4,1,1,6,2014 Winter,Sochi,58.0,58.0,35.0,23.0,6.0,RUS,False,0
2014 Winter Olympics,58,2014,Switzerland,SUI,7,2,2,11,2014 Winter,Sochi,62.0,152.0,86.0,66.0,11.0,RUS,False,0
2018 Winter Olympics,60,2018,Hungary,HUN,1,0,0,1,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Finland,FIN,1,1,4,6,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Great Britain,GBR,1,0,4,5,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Liechtenstein,LIE,0,0,1,1,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Poland,POL,1,0,1,2,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Ukraine,UKR,1,0,0,1,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Latvia,LAT,0,0,1,1,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Slovenia,SLO,0,1,1,2,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Belgium,BEL,0,1,0,1,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,New Zealand,NZL,0,0,2,2,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Spain,ESP,0,0,2,2,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Kazakhstan,KAZ,0,0,1,1,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Slovakia,SVK,1,2,0,3,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Australia,AUS,0,2,1,3,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,People's Republic of China,CHN,1,6,2,9,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Japan,JPN,4,5,4,13,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Czechia,CZE,2,2,3,7,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Belarus,BLR,2,1,0,3,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Norway,NOR,14,14,11,39,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Germany,GER,14,10,7,31,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Canada,CAN,11,8,10,29,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Netherlands,NED,8,6,6,20,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Sweden,SWE,7,6,1,14,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,United States,USA,9,8,6,23,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Switzerland,SUI,5,6,4,15,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,France,FRA,5,4,6,15,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Austria,AUT,5,3,6,14,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Italy,ITA,3,2,5,10,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,ROC,ROC,2,6,9,17,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,False,0
2018 Winter Olympics,60,2018,Republic of Korea,KOR,5,8,4,17,2018 Winter,0,0.0,0.0,0.0,0.0,0.0,KOR,True,1
2022 Winter Olympics,62,2022,Hungary,HUN,1,0,2,3,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,New Zealand,NZL,2,1,0,3,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Australia,AUS,1,2,1,4,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Great Britain,GBR,1,1,0,2,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Belgium,BEL,1,0,1,2,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Estonia,EST,0,0,1,1,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Slovakia,SVK,1,0,1,2,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Belarus,BLR,0,2,0,2,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Spain,ESP,0,1,0,1,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Ukraine,UKR,0,1,0,1,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Finland,FIN,2,2,4,8,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Czechia,CZE,1,0,1,2,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Slovenia,SLO,2,3,2,7,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Switzerland,SUI,7,2,6,15,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Italy,ITA,2,7,8,17,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Japan,JPN,3,6,9,18,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Canada,CAN,4,8,14,26,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,France,FRA,5,7,2,14,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,ROC,ROC,6,12,14,32,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Austria,AUT,7,7,4,18,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Netherlands,NED,8,5,4,17,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Sweden,SWE,8,5,5,18,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,United States,USA,8,10,7,25,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,People's Republic of China,CHN,9,4,2,15,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,True,1
2022 Winter Olympics,62,2022,Germany,GER,12,10,5,27,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Norway,NOR,16,8,13,37,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Latvia,LAT,0,0,1,1,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Republic of Korea,KOR,2,5,2,9,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
2022 Winter Olympics,62,2022,Poland,POL,0,0,1,1,2022 Winter,0,0.0,0.0,0.0,0.0,0.0,CHN,False,0
